NAME	aNSCs	Astrocytes	Brown_adipocytes	Cardiac_fibroblasts	Dermal_fibroblasts	Endothelial_cells	Erythrocytes	Granulocytes	Macrophages	Microglia	Monocytes	Neurons	Neutrophils	NK_cells	NPCs	Oligodendrocytes	qNSCs	Plasma_cells	T_cells	White_adipocytes	Cardiomyocytes	Hepatocytes	B_cells	
C1qa	12.538640937968701	27.654236682091007	28.30765504099189	18.5833713217636	12.538640937968701	12.538640937968701	570.1157628179822	399.67367560584967	4359.042591230557	9206.807891702185	59.090519684670795	19.97628968103685	587.8750366706076	19.632481538992202	12.538640937968701	194.81345755068094	12.538640937968701	89.66191875986843	12.538640937968701	145.8098174328457	77.33673675037114	17.95605707964115	18.225496721622054	
C1qb	12.538640937968701	46.89395041448022	69.39796959176824	17.630140685468	12.538640937968701	12.538640937968701	659.898457005756	359.7385087931938	5470.589724433879	5483.9255829120975	138.125480573307	29.82897903232734	473.13074809147355	19.942513662903497	12.538640937968701	122.964410282764	12.538640937968701	97.87392351286377	12.538640937968701	173.9484746515149	106.42963315879547	17.199332471743098	26.02214832029435	
C1qc	12.538640937968701	27.654236682091007	55.57379253077216	12.538640937968701	12.538640937968701	12.538640937968701	365.57675631245695	146.32570888642002	5434.675372120913	6940.732946691266	43.464445296273304	25.37292953918395	348.3762683103134	18.132804488952505	12.538640937968701	106.41964314149499	12.538640937968701	89.06306602070667	12.538640937968701	174.08327619340298	86.14315041749295	14.688534557732552	19.196188724021795	
C1s	12.538640937968701	26.05370852558551	388.12529149751174	249.54330373086816	448.6799481407439	12.538640937968701	12.538640937968701	12.538640937968701	14.975023273021648	12.538640937968701	12.538640937968701	27.836281867113605	14.602845991778898	12.538640937968701	14.237910408676894	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	1051.8831123287152	60.3148835016407	1818.1592998718656	12.538640937968701	
C3	12.538640937968701	27.127816977900707	2654.2074925316147	1971.0454901561554	6774.405636625786	12.538640937968701	48.88094131124594	6765.241548967384	489.56221299222284	51.15067379085761	2174.093132674298	17.87589406856005	5480.858986581996	15.527403860589702	15.871606476158698	12.538640937968701	12.538640937968701	38.618076697581195	18.114507143405998	7048.527557472034	186.8453762079825	23752.058054411416	22.62150334656056	
C330021F23Rik	2471.325401027656	58.0871463665713	199.72801380501448	251.2788379524775	14.018443829677503	1473.1321482756405	24.245890469975095	12.538640937968701	12.538640937968701	94.2812229320675	23.730659488945605	75.68048204238309	12.538640937968701	15.959613047458795	15.621558676027801	188.17812711214	445.8740069046753	280.7701989148983	39.526931205928776	299.9592384223223	996.4844577930364	460.52769302200136	12.538640937968701	
C3ar1	12.538640937968701	23.492088751114593	72.44222592056909	20.28037862645045	12.538640937968701	12.538640937968701	16.565608097733453	18.4806012909409	1339.7773722029244	909.752362299593	43.55949716517821	43.51679856024486	24.670499555386897	12.538640937968701	12.538640937968701	20.781055411500198	12.538640937968701	12.538640937968701	12.538640937968701	140.49978395372398	19.441433018285053	16.4160178930374	13.462195410089251	
C4b	17.911231288562348	2629.67263474789	2197.73048255649	148.13604596938848	5536.282537789653	21.2320269664552	12.538640937968701	12.538640937968701	536.4905597089486	90.88066111904625	23.730659488945605	27.342603640140652	35.14890422724825	12.538640937968701	19.356269182956602	30.336658570593404	383.18801715695236	22.159833014700897	12.538640937968701	2463.186467296079	32.8735529087094	3169.275279266688	30.143025322389462	
C4bp	12.538640937968701	12.538640937968701	12.538640937968701	28.100065212944003	20.157351712212407	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	12.538640937968701	16.097579340550602	12.538640937968701	12.538640937968701	14.398047185390404	12.538640937968701	12.538640937968701	19.452274887900106	12.538640937968701	12.538640937968701	12.538640937968701	512.4541300960315	12.538640937968701	
C630004H02Rik	55.45678024539511	118.45350883194295	29.876413108075802	51.32890038277659	39.31579845244169	47.73892034616493	16.565608097733453	12.538640937968701	15.838330824128096	29.05009189306064	12.538640937968701	379.9262629945249	15.249014944729451	103.32829245202998	228.96173733061914	366.54694840935684	40.60186803569479	697.8819638212353	146.98586564793393	38.418953872469	17.5750757730213	38.8740062262942	20.652984887078695	
